hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
18720	7	8	3	51	24	333	1.31	0.0039	-0.3746	0.3786	4	5
18720	7	8	4	50	30	366	147.53	0.4031	-0.2291	0.6322	4	5
18720	7	8	5	53	32	423	137.63	0.3254	-0.1096	0.4350	4	5
18720	7	8	6	52	28	390	97.08	0.2489	-0.0304	0.2793	4	5
18720	7	8	7	52	24	410	-42.75	-0.1043	-0.0492	-0.0550	2	5
18720	7	8	8	53	28	403	14.77	0.0366	-0.0634	0.1000	2	5
18720	7	8.5	3	52	25	377	-39.44	-0.1046	-0.4908	0.3862	4	5
18720	7	8.5	4	49	26	333	107.36	0.3224	-0.1739	0.4962	4	5
18720	7	8.5	5	51	26	403	-19.71	-0.0489	-0.1682	0.1193	2	5
18720	7	8.5	6	48	23	371	7.00	0.0189	-0.0872	0.1061	3	5
18720	7	8.5	7	51	21	386	-170.77	-0.4424	-0.0884	-0.3541	1	5
18720	7	8.5	8	51	24	365	-64.38	-0.1764	-0.0828	-0.0936	2	5
18720	7	9	3	51	24	378	-41.47	-0.1097	-0.4951	0.3854	3	5
18720	7	9	4	49	25	315	84.53	0.2683	-0.1977	0.4661	4	5
18720	7	9	5	52	26	414	65.65	0.1586	-0.1148	0.2734	4	5
18720	7	9	6	49	26	403	15.02	0.0373	-0.0662	0.1035	3	5
18720	7	9	7	49	25	393	3.53	0.0090	-0.0515	0.0605	3	5
18720	7	9	8	48	27	368	124.44	0.3381	0.0012	0.3370	3	5
18720	7	9.5	3	53	27	403	-54.78	-0.1359	-0.4834	0.3474	4	5
18720	7	9.5	4	51	28	351	52.02	0.1482	-0.2920	0.4401	4	5
18720	7	9.5	5	52	28	445	155.03	0.3484	-0.1724	0.5207	4	5
18720	7	9.5	6	51	30	407	192.74	0.4736	-0.0940	0.5675	4	5
18720	7	9.5	7	51	26	376	157.01	0.4176	-0.0733	0.4909	4	5
18720	7	9.5	8	51	28	380	179.03	0.4711	-0.1195	0.5906	4	5
18720	7	10	3	53	30	391	-26.90	-0.0688	-0.4643	0.3955	4	5
18720	7	10	4	50	29	351	197.84	0.5636	-0.1905	0.7541	4	5
18720	7	10	5	52	27	421	136.95	0.3253	-0.1773	0.5026	4	5
18720	7	10	6	51	27	399	202.20	0.5068	-0.0271	0.5339	5	5
18720	7	10	7	52	25	403	151.63	0.3763	-0.0215	0.3977	5	5
18720	7	10	8	52	28	411	223.24	0.5432	-0.0599	0.6031	5	5
18720	8	8	3	52	24	326	-33.56	-0.1029	-0.4101	0.3071	3	5
18720	8	8	4	52	28	376	110.40	0.2936	-0.1704	0.4640	4	5
18720	8	8	5	53	31	444	191.52	0.4314	-0.1335	0.5648	4	5
18720	8	8	6	52	29	384	199.99	0.5208	-0.0657	0.5865	4	5
18720	8	8	7	53	28	416	87.73	0.2109	-0.0659	0.2768	4	5
18720	8	8	8	54	31	424	107.06	0.2525	-0.0611	0.3136	3	5
18720	8	8.5	3	50	26	353	-8.52	-0.0241	-0.5383	0.5142	4	5
18720	8	8.5	4	51	28	372	29.36	0.0789	-0.1877	0.2666	3	5
18720	8	8.5	5	53	26	460	77.29	0.1680	-0.1077	0.2757	3	5
18720	8	8.5	6	53	28	396	68.19	0.1722	-0.0788	0.2510	3	5
18720	8	8.5	7	52	29	409	79.61	0.1946	-0.1082	0.3029	4	5
18720	8	8.5	8	52	25	411	88.30	0.2148	-0.0486	0.2634	3	5
18720	8	9	3	50	25	369	-2.14	-0.0058	-0.5378	0.5320	4	5
18720	8	9	4	51	27	328	72.36	0.2206	-0.2263	0.4469	3	5
18720	8	9	5	53	26	461	147.31	0.3195	-0.1226	0.4421	4	5
18720	8	9	6	53	34	428	179.93	0.4204	-0.0990	0.5194	4	5
18720	8	9	7	52	27	395	110.80	0.2805	-0.0656	0.3461	4	5
18720	8	9	8	52	29	423	166.58	0.3938	-0.0086	0.4024	5	5
18720	8	9.5	3	53	29	412	13.30	0.0323	-0.4827	0.5150	4	5
18720	8	9.5	4	52	28	350	95.61	0.2732	-0.2678	0.5410	4	5
18720	8	9.5	5	53	31	483	269.49	0.5580	-0.1549	0.7129	4	5
18720	8	9.5	6	51	33	425	317.56	0.7472	-0.0971	0.8443	4	5
18720	8	9.5	7	50	27	381	107.18	0.2813	-0.1043	0.3856	4	5
18720	8	9.5	8	50	25	396	227.56	0.5747	-0.1360	0.7107	4	5
18720	8	10	3	53	29	413	-78.55	-0.1902	-0.4416	0.2515	3	5
18720	8	10	4	52	28	348	163.12	0.4687	-0.1879	0.6566	4	5
18720	8	10	5	53	28	462	233.07	0.5045	-0.0971	0.6016	5	5
18720	8	10	6	50	30	408	297.93	0.7302	-0.0244	0.7546	5	5
18720	8	10	7	49	25	388	229.75	0.5921	-0.1398	0.7319	5	5
18720	8	10	8	49	23	378	200.84	0.5313	-0.2106	0.7419	5	5
20160	4	8	3	52	24	399	-73.17	-0.1834	-0.4298	0.2464	4	5
20160	4	8	4	52	28	361	-27.55	-0.0763	-0.4069	0.3306	4	5
