hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
17280	7	8.5	7	50	21	364	-93.45	-0.2567	0.0377	-0.2945	2	5
17280	7	8.5	8	50	24	355	-48.12	-0.1355	0.0686	-0.2041	2	5
17280	7	9	3	51	28	405	8.72	0.0215	-0.2772	0.2987	4	5
17280	7	9	4	51	28	351	126.00	0.3590	0.0931	0.2659	4	5
17280	7	9	5	50	30	443	231.08	0.5216	-0.0467	0.5683	4	5
17280	7	9	6	48	29	407	112.69	0.2769	0.1011	0.1758	3	5
17280	7	9	7	49	26	414	-50.98	-0.1231	0.0873	-0.2104	2	5
17280	7	9	8	48	28	402	57.68	0.1435	0.0481	0.0953	2	5
17280	7	9.5	3	52	28	415	68.11	0.1641	-0.2034	0.3675	4	5
17280	7	9.5	4	52	30	361	233.61	0.6471	0.0029	0.6442	5	5
17280	7	9.5	5	51	31	440	305.39	0.6941	-0.0381	0.7321	4	5
17280	7	9.5	6	50	28	394	196.87	0.4997	0.0587	0.4410	4	5
17280	7	9.5	7	51	30	410	96.98	0.2365	0.0637	0.1729	4	5
17280	7	9.5	8	51	29	392	125.84	0.3210	0.0327	0.2883	4	5
17280	7	10	3	53	28	432	40.77	0.0944	-0.1847	0.2791	3	5
17280	7	10	4	51	29	364	147.44	0.4051	0.0156	0.3895	4	5
17280	7	10	5	52	29	422	251.70	0.5965	-0.0579	0.6543	5	5
17280	7	10	6	51	29	387	211.48	0.5465	0.1139	0.4326	4	5
17280	7	10	7	51	29	381	144.57	0.3794	0.1438	0.2357	4	5
17280	7	10	8	51	28	380	138.44	0.3643	0.1460	0.2183	5	5
17280	8	8	3	52	25	390	49.94	0.1281	-0.2238	0.3519	3	5
17280	8	8	4	54	34	379	261.20	0.6892	0.1689	0.5203	4	5
17280	8	8	5	53	32	425	272.37	0.6409	0.1409	0.5000	4	5
17280	8	8	6	52	27	392	189.11	0.4824	0.1757	0.3067	4	5
17280	8	8	7	53	30	406	265.37	0.6536	0.1991	0.4545	4	5
17280	8	8	8	53	29	426	206.96	0.4858	0.1608	0.3250	3	5
17280	8	8.5	3	50	24	404	8.07	0.0200	-0.2589	0.2789	4	5
17280	8	8.5	4	53	30	357	109.26	0.3060	0.1501	0.1560	3	5
17280	8	8.5	5	52	31	440	235.99	0.5363	0.0528	0.4835	4	5
17280	8	8.5	6	51	27	391	149.88	0.3833	0.1323	0.2511	4	5
17280	8	8.5	7	51	28	379	71.38	0.1883	0.1331	0.0552	2	5
17280	8	8.5	8	50	23	379	95.84	0.2529	0.1356	0.1173	3	5
17280	8	9	3	50	25	417	47.63	0.1142	-0.2823	0.3965	4	5
17280	8	9	4	53	31	386	153.42	0.3974	0.1118	0.2856	3	5
17280	8	9	5	52	31	477	209.47	0.4391	0.0606	0.3785	4	5
17280	8	9	6	50	32	424	264.30	0.6233	0.0951	0.5282	4	5
17280	8	9	7	50	29	387	148.79	0.3845	0.1104	0.2740	4	5
17280	8	9	8	50	29	398	220.84	0.5549	0.1892	0.3657	4	5
17280	8	9.5	3	53	26	475	107.66	0.2267	-0.2026	0.4292	4	5
17280	8	9.5	4	53	34	371	210.26	0.5667	0.0805	0.4862	5	5
17280	8	9.5	5	53	30	467	318.67	0.6824	0.0947	0.5876	4	5
17280	8	9.5	6	49	32	400	328.35	0.8209	0.0516	0.7693	4	5
17280	8	9.5	7	48	26	364	190.89	0.5244	0.1425	0.3819	3	5
17280	8	9.5	8	48	26	375	152.30	0.4061	0.1040	0.3021	4	5
17280	8	10	3	53	26	434	66.80	0.1539	-0.1592	0.3131	3	5
17280	8	10	4	52	33	368	241.38	0.6559	0.1177	0.5382	5	5
17280	8	10	5	53	28	444	360.05	0.8109	0.0323	0.7786	5	5
17280	8	10	6	49	31	397	272.83	0.6872	0.0476	0.6396	5	5
